"hide";"cieId";"descripcion";"descripcionOriginal";"sinonimos";"especialidad";"subespecialidad"
"";"35.92";"CREACION DE CONDUCTO ENTRE EL VENTRI. DERECHO Y LA ART. PULM";"CREACION DE CONDUCTO ENTRE EL VENTRI. DERECHO Y LA ART. PULM";"";"CARDIOVASCULAR";""
"";"35.93";"CREACION DE CONDUCTO ENTRE EL VENTRICULO IZQUIERDO Y LA AORTA";"CREACION DE CONDUCTO ENTRE EL VENTRICULO IZQUIERDO Y LA AORTA";"";"CARDIOVASCULAR";""
"";"35.94";"CREACION DE CONDUCTO ENTRE AURICULA Y ARTERIA PULMONAR";"CREACION DE CONDUCTO ENTRE AURICULA Y ARTERIA PULMONAR";"";"CARDIOVASCULAR";""
"";"35.95";"REVISION DE PROCEDIMIENTO CORRECTIVO SOBRE EL CORAZON";"REVISION DE PROCEDIMIENTO CORRECTIVO SOBRE EL CORAZON";"";"CARDIOVASCULAR";""
"";"35.96";"VALVULOPLASTIA PERCUTANEA CON GLOBO";"VALVULOPLASTIA PERCUTANEA CON GLOBO";"";"CARDIOVASCULAR";""
"";"35.97";"REPARACION PERCUTANEA DE VALVULA MITRAL CON IMPLANTE";"REPARACION PERCUTANEA DE VALVULA MITRAL CON IMPLANTE";"";"CARDIOVASCULAR";""
"";"35.98";"OTRAS OPERACIONES SOBRE TABIQUES CARDIACOS";"OTRAS OPERACIONES SOBRE TABIQUES CARDIACOS";"";"CARDIOVASCULAR";""
"";"35.99";"OTRAS OPERACIONES SOBRE VALVULAS CARDIACAS";"OTRAS OPERACIONES SOBRE VALVULAS CARDIACAS";"";"CARDIOVASCULAR";""
"";"36.0";"ELIMIACION DE OBSTRUCCION DE ART.CORONARIA E INSERCION STENT";"ELIMIACION DE OBSTRUCCION DE ART.CORONARIA E INSERCION STENT";"";"CARDIOVASCULAR";""
"";"36.01";"ANGIOPL.CORON.PERCUT.TRANSLUM.VAS UNIC,ATERECTO. S/TROMBOLIT";"ANGIOPL.CORON.PERCUT.TRANSLUM.VAS UNIC,ATERECTO. S/TROMBOLIT";"";"CARDIOVASCULAR";""
"";"36.02";"ANGIOPL.CORON.PERCUT.TRANSLUM.VAS UNIC,ATERECTO. TROMBOLITIC";"ANGIOPL.CORON.PERCUT.TRANSLUM.VAS UNIC,ATERECTO. TROMBOLITIC";"";"CARDIOVASCULAR";""
"";"36.03";"ANGIOPLASTIA DE ARTERIA CORONARIA CON TORAX ABIERTO";"ANGIOPLASTIA DE ARTERIA CORONARIA CON TORAX ABIERTO";"";"CARDIOVASCULAR";""
"";"36.04";"INFUSION TROMBOLITICA DE ARTERIA INTRACORONARIA";"INFUSION TROMBOLITICA DE ARTERIA INTRACORONARIA";"";"CARDIOVASCULAR";""
"";"36.05";"ANGIOPL.CORON.TRANSLUM.PERCUT.[ACTP],MULTI.VASOS,AMB/S TROMB";"ANGIOPL.CORON.TRANSLUM.PERCUT.[ACTP],MULTI.VASOS,AMB/S TROMB";"";"CARDIOVASCULAR";""
"";"36.06";"INSERCION DE STENT(S) DE ARTERIA CORONARIA NO LIBERADOR DE FARMACOS";"INSERCION DE STENT(S) DE ARTERIA CORONARIA NO LIBERADOR DE FARMACOS";"";"CARDIOVASCULAR";""
"";"36.07";"INSERCION DE STENT(S) DE ARTERIA CORONARIA LIBERADOR DE FARMACOS";"INSERCION DE STENT(S) DE ARTERIA CORONARIA LIBERADOR DE FARMACOS";"";"CARDIOVASCULAR";""
"";"36.09";"OTRA ELIMINACION DE OBSTRUCCION DE ARTERIA CORONARIA";"OTRA ELIMINACION DE OBSTRUCCION DE ARTERIA CORONARIA";"";"CARDIOVASCULAR";""
"";"36.1";"ANASTOMOSIS POR DESVIACION PARA REVASCULARIZACION CARDIACA";"ANASTOMOSIS POR DESVIACION PARA REVASCULARIZACION CARDIACA";"";"CARDIOVASCULAR";""
"";"36.10";"ANASTOMOSIS AORTOCORONARIA PARA REVASCULARIZACION CARDIACA";"ANASTOMOSIS AORTOCORONARIA PARA REVASCULARIZACION CARDIACA";"";"CARDIOVASCULAR";""
"";"36.11";"DERIVACION (AORTO)CORONARIA DE UNA ARTERIA CORONARIA";"DERIVACION (AORTO)CORONARIA DE UNA ARTERIA CORONARIA";"";"CARDIOVASCULAR";""
"";"36.12";"DERIVACION (AORTO)CORONARIA DE DOS ARTERIAS CORONARIAS";"DERIVACION (AORTO)CORONARIA DE DOS ARTERIAS CORONARIAS";"";"CARDIOVASCULAR";""
"";"36.13";"DERIVACION (AORTO)CORONARIA DE TRES ARTERIAS CORONARIAS";"DERIVACION (AORTO)CORONARIA DE TRES ARTERIAS CORONARIAS";"";"CARDIOVASCULAR";""
"";"36.14";"DERIVACION (AORTO)CORONARIA DE CUATRO O MAS ARTERIAS  CORONARIAS";"DERIVACION (AORTO)CORONARIA DE CUATRO O MAS ARTERIAS  CORONARIAS";"";"CARDIOVASCULAR";""
"";"36.15";"ANASTOMOSIS INTERNA SIMPLE DE ARTERIA MAMARIA ARTERIA CORONA";"ANASTOMOSIS INTERNA SIMPLE DE ARTERIA MAMARIA ARTERIA CORONA";"";"CARDIOVASCULAR";""
"";"36.16";"ANASTOMOSIS INTERNA DOBLE DE ARTERIA MAMARIA ARTERIA CORONA";"ANASTOMOSIS INTERNA DOBLE DE ARTERIA MAMARIA ARTERIA CORONA";"";"CARDIOVASCULAR";""
"";"36.17";"ANASTOMOSIS DE LA ARTERIA CORONARIA ABDOMINAL";"ANASTOMOSIS DE LA ARTERIA CORONARIA ABDOMINAL";"";"CARDIOVASCULAR";""
"";"36.19";"OTRA ANASTOMOSIS POR DESVIACIO PARA REVASCULIZACION CARDIACA";"OTRA ANASTOMOSIS POR DESVIACIO PARA REVASCULIZACION CARDIACA";"";"CARDIOVASCULAR";""
"";"36.2";"REVASCULIZACION CARDIACA POR IMPLANTACION ARTERIAL";"REVASCULIZACION CARDIACA POR IMPLANTACION ARTERIAL";"";"CARDIOVASCULAR";""
"";"36.3";"OTRA REVASCULIZACION CARDIACA";"OTRA REVASCULIZACION CARDIACA";"";"CARDIOVASCULAR";""
"";"36.31";"REVASCULARIZACIONTRANSMIOCARDICA CON TORAX ABIERTO";"REVASCULARIZACIONTRANSMIOCARDICA CON TORAX ABIERTO";"";"CARDIOVASCULAR";""
"";"36.32";"OTRA REVASCULARIZACION TRANSMIOCARDICA";"OTRA REVASCULARIZACION TRANSMIOCARDICA";"";"CARDIOVASCULAR";""
"";"36.33";"REVASCULARIZACION TRANSMIOCARDICA ENDOSCOPICA";"REVASCULARIZACION TRANSMIOCARDICA ENDOSCOPICA";"";"CARDIOVASCULAR";""
"";"36.34";"REVASCULARIZACION TRANSMIOCARDICA PERCUTANEA";"REVASCULARIZACION TRANSMIOCARDICA PERCUTANEA";"";"CARDIOVASCULAR";""
"";"36.39";"OTRA REVASCULARIZACION DEL CORAZON";"OTRA REVASCULARIZACION DEL CORAZON";"";"CARDIOVASCULAR";""
"";"36.9";"OTRAS OPERACIONES SOBRE VASOS CARDIACOS";"OTRAS OPERACIONES SOBRE VASOS CARDIACOS";"";"CARDIOVASCULAR";""
"";"36.91";"REPARACION DE ANEURISMA DE VASO CORONARIO";"REPARACION DE ANEURISMA DE VASO CORONARIO";"";"CARDIOVASCULAR";""
"";"36.99";"OTRAS OPERACIONES SOBRE VASOS CARDIACOS";"OTRAS OPERACIONES SOBRE VASOS CARDIACOS";"";"CARDIOVASCULAR";""
"";"37.0";"PERICARDIOCENTESIS";"PERICARDIOCENTESIS";"";"CARDIOVASCULAR";""
"";"37.1";"CARDIOTOMIA Y PERICARDIOTOMIA";"CARDIOTOMIA Y PERICARDIOTOMIA";"";"CARDIOVASCULAR";""
"";"37.10";"INCISION DE CORAZON, NEOM";"INCISION DE CORAZON, NEOM";"";"CARDIOVASCULAR";""
"";"37.11";"CARDIOTOMIA";"CARDIOTOMIA";"";"CARDIOVASCULAR";""
"";"37.12";"PERICARDIOTOMIA";"PERICARDIOTOMIA";"";"CARDIOVASCULAR";""
"";"37.2";"PROCEDIMIENTOS DIAGNOSTICOS SOBRE CORAZON Y PERICARDIO";"PROCEDIMIENTOS DIAGNOSTICOS SOBRE CORAZON Y PERICARDIO";"";"CARDIOVASCULAR";""
"";"37.20";"ESTIMULACION ELECTRICA PROGRAMADA NO INVASIVA [EEPNI]";"ESTIMULACION ELECTRICA PROGRAMADA NO INVASIVA [EEPNI]";"";"CARDIOVASCULAR";""
"";"37.21";"CATETERISMO CARDIACO DEL LADO DERECHO DEL CORAZON";"CATETERISMO CARDIACO DEL LADO DERECHO DEL CORAZON";"";"CARDIOVASCULAR";""
"";"37.22";"CATETERISMO CARDIACO DEL LADO IZQUIERDO DEL CORAZON";"CATETERISMO CARDIACO DEL LADO IZQUIERDO DEL CORAZON";"";"CARDIOVASCULAR";""
"";"37.23";"CATETERISMO COMBINADO DE LOS LADOS DERECHO E IZQDO DEL CORAZ";"CATETERISMO COMBINADO DE LOS LADOS DERECHO E IZQDO DEL CORAZ";"";"CARDIOVASCULAR";""
"";"37.24";"BIOPSIA DE PERICARDIO";"BIOPSIA DE PERICARDIO";"";"CARDIOVASCULAR";""
"";"37.25";"BIOPSIA DE CORAZON";"BIOPSIA DE CORAZON";"";"CARDIOVASCULAR";""
"";"37.26";"ESTUDIO ELECTROFISIOLOGICO INVASIVO POR CATETER";"ESTUDIO ELECTROFISIOLOGICO INVASIVO POR CATETER";"";"CARDIOVASCULAR";""
"";"37.27";"CHEQUEO CARDIACO";"CHEQUEO CARDIACO";"";"CARDIOVASCULAR";""
"";"37.28";"ECOCARDIOGRAFIA INTRACARDIACA";"ECOCARDIOGRAFIA INTRACARDIACA";"";"CARDIOVASCULAR";""
"";"37.29";"OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE CORAZON Y PERICARDIO";"OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE CORAZON Y PERICARDIO";"";"CARDIOVASCULAR";""
"";"37.3";"PERICARDIECTOMIA Y EXCISION DE LESION DE CORAZON";"PERICARDIECTOMIA Y EXCISION DE LESION DE CORAZON";"";"CARDIOVASCULAR";""
"";"37.31";"PERICARDIECTOMIA";"PERICARDIECTOMIA";"";"CARDIOVASCULAR";""
"";"37.32";"EXCISION DE ANEURISMA DE CORAZON";"EXCISION DE ANEURISMA DE CORAZON";"";"CARDIOVASCULAR";""
"";"37.33";"ESCISION O DESTRUCCION DE OTRA LESION O TEJIDO DEL CORAZON, ABORDAJE ABIERTO";"ESCISION O DESTRUCCION DE OTRA LESION O TEJIDO DEL CORAZON, ABORDAJE ABIERTO";"";"CARDIOVASCULAR";""
"";"37.34";"ESCISION O DESTRUCCION DE OTRA LESION O TEJIDO DEL CORAZON, ACCESO ENDOVASCULAR";"ESCISION O DESTRUCCION DE OTRA LESION O TEJIDO DEL CORAZON, ACCESO ENDOVASCULAR";"";"CARDIOVASCULAR";""
"";"37.35";"VENTRICULECTOMIA PARCIAL";"VENTRICULECTOMIA PARCIAL";"";"CARDIOVASCULAR";""
"";"37.36";"ESCISION, DESTRUCCION O EEXCLUSION DE OREJUELA AURICULAR IZQUIERDA (LAA)";"ESCISION, DESTRUCCION O EEXCLUSION DE OREJUELA AURICULAR IZQUIERDA (LAA)";"";"CARDIOVASCULAR";""
"";"37.37";"ESCISION O DESTRUCCION DE OTRA LESION O TEJIDO DE CORAZON, ACCESO TORACOSCOPICO";"ESCISION O DESTRUCCION DE OTRA LESION O TEJIDO DE CORAZON, ACCESO TORACOSCOPICO";"";"CARDIOVASCULAR";""
"";"37.4";"REPARACION DE CORAZON Y PERICARDIO";"REPARACION DE CORAZON Y PERICARDIO";"";"CARDIOVASCULAR";""
"";"37.41";"IMPLANTACION DE DISPOSITIVO PROTESICO DE ASISTENCIA CARDIACA ALREDEDOR DEL CORAZON";"IMPLANTACION DE DISPOSITIVO PROTESICO DE ASISTENCIA CARDIACA ALREDEDOR DEL CORAZON";"";"CARDIOVASCULAR";""
"";"37.49";"OTRA REPARACION DE CORAZON Y PERICARDIO";"OTRA REPARACION DE CORAZON Y PERICARDIO";"";"CARDIOVASCULAR";""
"";"37.5";"PROCEDIMIENTOS DE SUSTITUCION CARDIACA";"PROCEDIMIENTOS DE SUSTITUCION CARDIACA";"";"CARDIOVASCULAR";""
"";"37.51";"TRASPLANTE CARDIACO";"TRASPLANTE CARDIACO";"";"CARDIOVASCULAR";""
"";"37.52";"IMPLANTACION DE SISTEMA DE SUSTITUCION CARDIACA BIVENTRICULAR INTERNO TOTAL";"IMPLANTACION DE SISTEMA DE SUSTITUCION CARDIACA BIVENTRICULAR INTERNO TOTAL";"";"CARDIOVASCULAR";""
"";"37.53";"SUSTITUCION O REPARACION DE LA UNIDAD TORACICA DEL SISTEMA DE SUSTITUCION CARDIACA (TOTAL)";"SUSTITUCION O REPARACION DE LA UNIDAD TORACICA DEL SISTEMA DE SUSTITUCION CARDIACA (TOTAL)";"";"CARDIOVASCULAR";""
"";"37.54";"SUSTITUCION O REPARACION DE OTRO COMPONENTE IMPLANTABLE DEL SISTEMA DE SUSTITUCION CARDIACA (TOTAL)";"SUSTITUCION O REPARACION DE OTRO COMPONENTE IMPLANTABLE DEL SISTEMA DE SUSTITUCION CARDIACA (TOTAL)";"";"CARDIOVASCULAR";""
"";"37.55";"EXTRACCION DEL SISTEMA DE SUSTITUCION CARDIACA BIVENTRICULAR INTERNO";"EXTRACCION DEL SISTEMA DE SUSTITUCION CARDIACA BIVENTRICULAR INTERNO";"";"CARDIOVASCULAR";""
"";"37.6";"IMPLANTE DE SISTEMA(S) DE ASISTENCIA CARDIACA Y CIRCULATORIA";"IMPLANTE DE SISTEMA(S) DE ASISTENCIA CARDIACA Y CIRCULATORIA";"";"CARDIOVASCULAR";""
"";"37.60";"IMPLANTACION O INSERCION DE SISTEMA DE ASISTENCIA CARDIACA EXTERNO BIVENTRICULAR";"IMPLANTACION O INSERCION DE SISTEMA DE ASISTENCIA CARDIACA EXTERNO BIVENTRICULAR";"";"CARDIOVASCULAR";""
"";"37.61";"IMPLANTACION DE BALON CONTRAPULSACION";"IMPLANTACION DE BALON CONTRAPULSACION";"";"CARDIOVASCULAR";""
"";"37.62";"INSERCION DE DISPOSITIVO DE ASISTENCIA CIRCULATORIA EXTRACORPOREO NO IMPLANTABLE TEMPORAL";"INSERCION DE DISPOSITIVO DE ASISTENCIA CIRCULATORIA EXTRACORPOREO NO IMPLANTABLE TEMPORAL";"";"CARDIOVASCULAR";""
"";"37.63";"REPARACION DE SISTEMA DE ASISTENCIA CARDIACA";"REPARACION DE SISTEMA DE ASISTENCIA CARDIACA";"";"CARDIOVASCULAR";""
"";"37.64";"RETIRADA DE SISTEMA(S) O DISPOSITIVO(S) DE ASISTENCIA CARDIACA EXTERNO";"RETIRADA DE SISTEMA(S) O DISPOSITIVO(S) DE ASISTENCIA CARDIACA EXTERNO";"";"CARDIOVASCULAR";""
"";"37.65";"IMPLANTE DE UN SISTEMA DE ASISTENCIA CARDIACA UNICO VENTRICULAR (EXTRACORPOREO)";"IMPLANTE DE UN SISTEMA DE ASISTENCIA CARDIACA UNICO VENTRICULAR (EXTRACORPOREO)";"";"CARDIOVASCULAR";""
"";"37.66";"IMPLANTACION INSERCION DE UN SISTEMA DE ASISTENCIA CARDIACA PULSATIL, IMPLANTABLE";"IMPLANTACION INSERCION DE UN SISTEMA DE ASISTENCIA CARDIACA PULSATIL, IMPLANTABLE";"";"CARDIOVASCULAR";""
"";"37.67";"IMPLANTACION DE SISTEMA DE CARDIOMIOESTIMULACION";"IMPLANTACION DE SISTEMA DE CARDIOMIOESTIMULACION";"";"CARDIOVASCULAR";""
"";"37.68";"INSERCION DE DISPOSITIVO DE ASISTENCIA CARDIACA EXTERNO PERCUTANEO";"INSERCION DE DISPOSITIVO DE ASISTENCIA CARDIACA EXTERNO PERCUTANEO";"";"CARDIOVASCULAR";""
"";"37.7";"INSERCION, REVISION, SUSTITUCION Y RETIRADA DE CABLES DE MARCAPASOS; INSERCION DE SISTEMA DE MARCAPASOS TEMPORAL; O REVISION DE BOLSA DE DISPOSITIVO CARDIACO";"INSERCION, REVISION, SUSTITUCION Y RETIRADA DE CABLES DE MARCAPASOS; INSERCION DE SISTEMA DE MARCAPASOS TEMPORAL; O REVISION DE BOLSA DE DISPOSITIVO CARDIACO";"";"CARDIOVASCULAR";""
"";"37.70";"INSERCION INICIAL DE DERIVACIONES ELECTRODOS, NEOM";"INSERCION INICIAL DE DERIVACIONES ELECTRODOS, NEOM";"";"CARDIOVASCULAR";""
"";"37.71";"INSERCION INICIAL DE DERIVAC. ELECTRODOS TRANSVENOSOS VENTRI";"INSERCION INICIAL DE DERIVAC. ELECTRODOS TRANSVENOSOS VENTRI";"";"CARDIOVASCULAR";""
"";"37.72";"INSERCION INICIAL DERIVAC TRANSVENOSOS EN AURICULA Y VENTRIC";"INSERCION INICIAL DERIVAC TRANSVENOSOS EN AURICULA Y VENTRIC";"";"CARDIOVASCULAR";""
"";"37.73";"INSERCION INICIAL ELECTRODOS TRANSVENOSOS EN ATRIO";"INSERCION INICIAL ELECTRODOS TRANSVENOSOS EN ATRIO";"";"CARDIOVASCULAR";""
"";"37.74";"INSERCION O SUSTITUCION DE DERIVACION ELECTRODO EPICARDIAL";"INSERCION O SUSTITUCION DE DERIVACION ELECTRODO EPICARDIAL";"";"CARDIOVASCULAR";""
"";"37.75";"REVISION DERIVACION ELECTRODO";"REVISION DERIVACION ELECTRODO";"";"CARDIOVASCULAR";""
"";"37.76";"SUSTITUCION DE DERIVACION TRANSVENOSO EN AURICULA Y VENTRICU";"SUSTITUCION DE DERIVACION TRANSVENOSO EN AURICULA Y VENTRICU";"";"CARDIOVASCULAR";""
"";"37.77";"ELIMINACION DE DERIVACION SIN SUTITUCION";"ELIMINACION DE DERIVACION SIN SUTITUCION";"";"CARDIOVASCULAR";""
"";"37.78";"INSERCION DE UN SISTEMA DE MARCAPASOS TRANSVENOSO TEMPORAL";"INSERCION DE UN SISTEMA DE MARCAPASOS TRANSVENOSO TEMPORAL";"";"CARDIOVASCULAR";""
"";"37.79";"REVISION O REUBICACION DE BOLSA DE DISPOSITIVO CARDIACO";"REVISION O REUBICACION DE BOLSA DE DISPOSITIVO CARDIACO";"";"CARDIOVASCULAR";""
"";"37.8";"INSERC/SUSTIT/REVISION Y ELIMINACION DE APARATOS MARCAPASOS";"INSERC/SUSTIT/REVISION Y ELIMINACION DE APARATOS MARCAPASOS";"";"CARDIOVASCULAR";""
"";"37.80";"INSERCION MARCAPASOS PERMANENTE,INICIAL O SUST.SIN ESP.APARA";"INSERCION MARCAPASOS PERMANENTE,INICIAL O SUST.SIN ESP.APARA";"";"CARDIOVASCULAR";""
"";"37.81";"INSER.INICIAL DISPOSITIVO CAMARA UNICA, NO ESPECF.RITMO SENS";"INSER.INICIAL DISPOSITIVO CAMARA UNICA, NO ESPECF.RITMO SENS";"";"CARDIOVASCULAR";""
"";"37.82";"INSER.INICIAL DE APARATO CAMARA UNICA, RITMO SENSIBILIDAD";"INSER.INICIAL DE APARATO CAMARA UNICA, RITMO SENSIBILIDAD";"";"CARDIOVASCULAR";""
"";"37.83";"INSERCION INICIAL DE APARATO DE CAMARA DOBLE";"INSERCION INICIAL DE APARATO DE CAMARA DOBLE";"";"CARDIOVASCULAR";""
"";"37.85";"SUSTIT.CUALQ.TIPO MARCAPASO APAR.CAMARA UNICA,NO ESP.RIT.SEN";"SUSTIT.CUALQ.TIPO MARCAPASO APAR.CAMARA UNICA,NO ESP.RIT.SEN";"";"CARDIOVASCULAR";""
"";"37.86";"SUSTIT.CUALQ.TIPO MARCAPASO CON APAR. CAMARA UNICA,RITMO SEN";"SUSTIT.CUALQ.TIPO MARCAPASO CON APAR. CAMARA UNICA,RITMO SEN";"";"CARDIOVASCULAR";""
"";"37.87";"SUSTIT. CUALQUIER TIPO MARCAPASOS CON DISP. CAMARA DOBLE";"SUSTIT. CUALQUIER TIPO MARCAPASOS CON DISP. CAMARA DOBLE";"";"CARDIOVASCULAR";""
"";"37.89";"REVISION O ELIMINACION DE MARCAPASOS CARDIACO";"REVISION O ELIMINACION DE MARCAPASOS CARDIACO";"";"CARDIOVASCULAR";""
"";"37.9";"OTRAS OPERACIONES SOBRE CORAZON Y PERICARDIO";"OTRAS OPERACIONES SOBRE CORAZON Y PERICARDIO";"";"CARDIOVASCULAR";""
"";"37.90";"INSERCION DE DISPOSITIVO ACCESORIO AURICULAR IZQUIERDO";"INSERCION DE DISPOSITIVO ACCESORIO AURICULAR IZQUIERDO";"";"CARDIOVASCULAR";""
"";"37.91";"MASAJE CARDIACO A TORAX ABIERTO";"MASAJE CARDIACO A TORAX ABIERTO";"";"CARDIOVASCULAR";""
"";"37.92";"INYECCION DE SUSTANCIA TERAPEUTICA EN CORAZON";"INYECCION DE SUSTANCIA TERAPEUTICA EN CORAZON";"";"CARDIOVASCULAR";""
"";"37.93";"INYECCION DE SUSTANCIA TERAPEUTICA EN PERICARDIO";"INYECCION DE SUSTANCIA TERAPEUTICA EN PERICARDIO";"";"CARDIOVASCULAR";""
"";"37.94";"IMPLANT.O SUSTIT.DE CARDIOVERSOR/DESFIBRILADOR AUTOMATICO,[A";"IMPLANT.O SUSTIT.DE CARDIOVERSOR/DESFIBRILADOR AUTOMATICO,[A";"";"CARDIOVASCULAR";""
"";"37.95";"IMPLANT.DE CARDIOVER/DESFIBRILADOR AUTOMATICO,SOLO DERIVACIO";"IMPLANT.DE CARDIOVER/DESFIBRILADOR AUTOMATICO,SOLO DERIVACIO";"";"CARDIOVASCULAR";""
"";"37.96";"IMPLANT.DE CARDIOVER/DESFIBR. AUTOMAT.SOLO GENERADOR DEL PUL";"IMPLANT.DE CARDIOVER/DESFIBR. AUTOMAT.SOLO GENERADOR DEL PUL";"";"CARDIOVASCULAR";""
"";"37.97";"SUSTITUCION DE CARDIOVER/DESFIBR.AUTOMATICO,SOLO DERIVACIONE";"SUSTITUCION DE CARDIOVER/DESFIBR.AUTOMATICO,SOLO DERIVACIONE";"";"CARDIOVASCULAR";""
"";"37.98";"SUSTIT.DE CARDIOV/DESFIBR.AUTOMATICO,SOLO GENERADOR DE PULSO";"SUSTIT.DE CARDIOV/DESFIBR.AUTOMATICO,SOLO GENERADOR DE PULSO";"";"CARDIOVASCULAR";""
"";"37.99";"OTRA OPERACION SOBRE CORAZON Y PERICARDIO NCOC";"OTRA OPERACION SOBRE CORAZON Y PERICARDIO NCOC";"";"CARDIOVASCULAR";""
"";"38.0";"INCISION DE VASO";"INCISION DE VASO";"";"CARDIOVASCULAR";""
"";"38.00";"INCISION, ESCISION Y OCLUSION DE VASOS SITIO NO ESPECIFICADO";"INCISION, ESCISION Y OCLUSION DE VASOS SITIO NO ESPECIFICADO";"";"CARDIOVASCULAR";""
"";"38.01";"INCISION, ESCISION Y OCLUSION DE VASOS INTRACRANEALES";"INCISION, ESCISION Y OCLUSION DE VASOS INTRACRANEALES";"";"CARDIOVASCULAR";""
"";"38.02";"INCISION, ESCISION Y OCLUSION DE OTROS V. DE CABEZA Y CUELLO";"INCISION, ESCISION Y OCLUSION DE OTROS V. DE CABEZA Y CUELLO";"";"CARDIOVASCULAR";""
"";"38.03";"INCISION, ESCISION Y OCLUSION DE VASOS DE MIEMBROS SUPERIORE";"INCISION, ESCISION Y OCLUSION DE VASOS DE MIEMBROS SUPERIORE";"";"CARDIOVASCULAR";""
"";"38.04";"INCISION, ESCISION Y OCLUSION DE AORTA";"INCISION, ESCISION Y OCLUSION DE AORTA";"";"CARDIOVASCULAR";""
"";"38.05";"INCISION, ESCISION Y OCLUSION DE OTROS VASOS TORACICOS";"INCISION, ESCISION Y OCLUSION DE OTROS VASOS TORACICOS";"";"CARDIOVASCULAR";""
"";"38.06";"INCISION, ESCISION Y OCLUSION DE ARTERIAS ABDOMINALES";"INCISION, ESCISION Y OCLUSION DE ARTERIAS ABDOMINALES";"";"CARDIOVASCULAR";""
"";"38.07";"INCISION, ESCISION Y OCLUSION DE VENAS ABDOMINALES";"INCISION, ESCISION Y OCLUSION DE VENAS ABDOMINALES";"";"CARDIOVASCULAR";""
"";"38.08";"INCISION, ESCISION Y OCLUSION ARTERIAS DE MIEMBROS INFERIORE";"INCISION, ESCISION Y OCLUSION ARTERIAS DE MIEMBROS INFERIORE";"";"CARDIOVASCULAR";""
"";"38.09";"INCISION, ESCISION Y OCLUSION DE VENAS DE MIEMBROS INFERIORE";"INCISION, ESCISION Y OCLUSION DE VENAS DE MIEMBROS INFERIORE";"";"CARDIOVASCULAR";""
"";"38.1";"ENDARTERECTOMIA";"ENDARTERECTOMIA";"";"CARDIOVASCULAR";""
"";"38.10";"ENDARTERECTOMIA DE SITIO NO ESPECIFICADO";"ENDARTERECTOMIA DE SITIO NO ESPECIFICADO";"";"CARDIOVASCULAR";""
"";"38.11";"ENDARTERECTOMIA DE VASOS INTRACRANEALES";"ENDARTERECTOMIA DE VASOS INTRACRANEALES";"";"CARDIOVASCULAR";""
"";"38.12";"ENDARTERECTOMIA DE OTROS VASOS DE CABEZA Y CUELLO";"ENDARTERECTOMIA DE OTROS VASOS DE CABEZA Y CUELLO";"";"CARDIOVASCULAR";""
"";"38.13";"ENDARTERECTOMIA DE VASOS DE MIEMBROS SUPERIORES";"ENDARTERECTOMIA DE VASOS DE MIEMBROS SUPERIORES";"";"CARDIOVASCULAR";""
"";"38.14";"ENDARTERECTOMIA DE AORTA";"ENDARTERECTOMIA DE AORTA";"";"CARDIOVASCULAR";""
"";"38.15";"ENDARTERECTOMIA DE OTROS VASOS TORACICOS";"ENDARTERECTOMIA DE OTROS VASOS TORACICOS";"";"CARDIOVASCULAR";""
"";"38.16";"ENDARTERECTOMIA DE ARTERIAS ABDOMINALES";"ENDARTERECTOMIA DE ARTERIAS ABDOMINALES";"";"CARDIOVASCULAR";""
"";"38.18";"ENDARTERECTOMIA DE ARTERIAS DE MIEMBROS INFERIORES";"ENDARTERECTOMIA DE ARTERIAS DE MIEMBROS INFERIORES";"";"CARDIOVASCULAR";""
"";"38.2";"PROCEDIMIENTOS DIAGNOSTICOS SOBRE VASOS SANGUINEOS";"PROCEDIMIENTOS DIAGNOSTICOS SOBRE VASOS SANGUINEOS";"";"CARDIOVASCULAR";""
"";"38.21";"BIOPSIA DE VASO SANGUINEO";"BIOPSIA DE VASO SANGUINEO";"";"CARDIOVASCULAR";""
"";"38.22";"ANGIOSCOPIA PERCUTANEA";"ANGIOSCOPIA PERCUTANEA";"";"CARDIOVASCULAR";""
"";"38.23";"ESPECTROSCOPIA INTRAVASCULAR";"ESPECTROSCOPIA INTRAVASCULAR";"";"CARDIOVASCULAR";""
"";"38.24";"IMAGEN INTRAVASCULAR DE VASO(S) CORONARIO(S) POR TOMOGRAFIA DE COHERENCIA OPTICA [OCT]";"IMAGEN INTRAVASCULAR DE VASO(S) CORONARIO(S) POR TOMOGRAFIA DE COHERENCIA OPTICA [OCT]";"";"CARDIOVASCULAR";""
"";"38.25";"IMAGEN INTRAVASCULAR DE VASO(S) NO CORONARIO(S) POR TOMOGRAFIA DE COHERENCIA OPTICA [OCT]";"IMAGEN INTRAVASCULAR DE VASO(S) NO CORONARIO(S) POR TOMOGRAFIA DE COHERENCIA OPTICA [OCT]";"";"CARDIOVASCULAR";""
"";"38.26";"INSERCIÓN DE SENSOR DE PRESIÓN IMPLANTABLE SIN CABLE PARA MONIT. HEM. INTRACARDIACA O DE GRANDES VASOS";"INSERCIÓN DE SENSOR DE PRESIÓN IMPLANTABLE SIN CABLE PARA MONIT. HEM. INTRACARDIACA O DE GRANDES VASOS";"";"CARDIOVASCULAR";""
